msas,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05
"Rockford, IL",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.42857142857142855,0.42857142857142855,1.0,1.2857142857142858,1.1428571428571428,1.4285714285714286,1.4285714285714286,1.5714285714285714,1.5714285714285714,1.5714285714285714,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.42857142857142855,1.0,1.1428571428571428,1.2857142857142858,1.4285714285714286,1.4285714285714286,2.0,2.142857142857143,1.1428571428571428,1.0,0.8571428571428571,1.1428571428571428,2.7142857142857144,2.142857142857143,2.142857142857143,2.5714285714285716,2.5714285714285716,2.4285714285714284,2.4285714285714284,0.8571428571428571,2.142857142857143,2.142857142857143,1.8571428571428572,1.8571428571428572,1.8571428571428572,1.4285714285714286,1.7142857142857142,1.0,1.1428571428571428,1.1428571428571428,1.1428571428571428,1.7142857142857142,1.7142857142857142,2.2857142857142856,1.7142857142857142,2.4285714285714284
"Rocky Mount, NC",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rome, GA",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0
"Sacramento-Roseville-Folsom, CA",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.5714285714285714,1.7142857142857142,2.2857142857142856,2.4285714285714284,2.4285714285714284,2.5714285714285716,2.5714285714285716,1.8571428571428572,2.0,1.5714285714285714,2.4285714285714284,2.5714285714285716,2.4285714285714284,2.2857142857142856,2.5714285714285716,2.2857142857142856,2.2857142857142856,1.4285714285714286,2.0,2.0,1.8571428571428572,1.7142857142857142,1.8571428571428572,1.7142857142857142,1.4285714285714286,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.4285714285714286,1.5714285714285714,1.4285714285714286,1.5714285714285714,0.8571428571428571,1.1428571428571428,1.0,1.1428571428571428,1.0,1.0,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857
"Saginaw, MI",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.8571428571428571,1.0,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.5714285714285714,2.0,1.8571428571428572,1.8571428571428572,2.142857142857143,2.142857142857143,2.142857142857143,2.2857142857142856,2.142857142857143,2.2857142857142856,2.5714285714285716,2.2857142857142856,2.7142857142857144,2.7142857142857144,2.5714285714285716,2.857142857142857,3.0,3.0,3.2857142857142856,3.2857142857142856,3.2857142857142856,3.0,2.5714285714285716,2.5714285714285716,2.7142857142857144,2.2857142857142856,2.4285714285714284,2.4285714285714284,2.4285714285714284,2.4285714285714284,2.2857142857142856,2.142857142857143,2.2857142857142856,2.0,2.0,2.0,1.7142857142857142,1.4285714285714286,1.4285714285714286,1.2857142857142858,1.1428571428571428,1.2857142857142858,1.0,1.1428571428571428,1.0,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.7142857142857143
"Salem, OR",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,1.0,1.0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.8571428571428571,1.2857142857142858,1.0,1.0,1.1428571428571428,1.1428571428571428,1.4285714285714286,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855
"Salinas, CA",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0
"Salisbury, MD-DE",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.0,1.0,1.2857142857142858,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.5714285714285714,1.7142857142857142,2.142857142857143,2.142857142857143,1.8571428571428572,2.4285714285714284,2.857142857142857,3.0,2.857142857142857,2.857142857142857,2.7142857142857144,3.0,3.2857142857142856,3.5714285714285716,3.857142857142857,4.142857142857143,4.285714285714286,4.857142857142857,4.714285714285714,4.142857142857143,3.7142857142857144,4.0,4.571428571428571,4.714285714285714,4.142857142857143,4.0,3.857142857142857,4.428571428571429,4.571428571428571,4.0,4.0,4.285714285714286,4.285714285714286,4.285714285714286,3.7142857142857144,3.0,2.5714285714285716,2.0,2.0,2.857142857142857,2.857142857142857,2.857142857142857,3.0,3.7142857142857144,3.7142857142857144,3.4285714285714284,2.4285714285714284,2.5714285714285716,2.2857142857142856,3.2857142857142856,2.5714285714285716
"Salt Lake City, UT",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.7142857142857143,0.7142857142857143,0.8571428571428571,1.1428571428571428,1.1428571428571428,1.5714285714285714,1.7142857142857142,1.1428571428571428,1.5714285714285714,1.7142857142857142,1.4285714285714286,1.2857142857142858,1.4285714285714286,1.2857142857142858,1.2857142857142858,1.0,0.7142857142857143,0.8571428571428571,1.0,1.0,1.4285714285714286,1.4285714285714286,1.2857142857142858,2.0,1.8571428571428572,2.4285714285714284,2.2857142857142856,2.0,1.8571428571428572,2.2857142857142856,1.5714285714285714,1.7142857142857142,1.1428571428571428,1.5714285714285714,1.4285714285714286,1.8571428571428572,1.4285714285714286,1.8571428571428572,1.7142857142857142,1.7142857142857142,1.1428571428571428,1.2857142857142858,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5714285714285714,1.0,1.0,1.4285714285714286
"San Angelo, TX",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"San Antonio-New Braunfels, TX",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,1.4285714285714286,1.4285714285714286,1.0,0.8571428571428571,1.0,1.0,1.0,1.2857142857142858,1.4285714285714286,2.2857142857142856,2.4285714285714284,2.2857142857142856,2.7142857142857144,2.857142857142857,3.0,3.4285714285714284,2.7142857142857144,2.4285714285714284,2.7142857142857144,2.4285714285714284,2.142857142857143,1.1428571428571428,0.7142857142857143,1.1428571428571428,1.1428571428571428,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.2857142857142858,1.2857142857142858,1.0,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.4285714285714286,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,1.1428571428571428,1.1428571428571428,1.1428571428571428,1.1428571428571428,1.2857142857142858,1.1428571428571428,1.2857142857142858,0.8571428571428571,1.0,1.0,1.2857142857142858,1.0,0.8571428571428571
"San Diego-Chula Vista-Carlsbad, CA",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.7142857142857143,1.0,1.0,1.0,1.1428571428571428,1.8571428571428572,1.8571428571428572,1.7142857142857142,1.5714285714285714,1.7142857142857142,1.7142857142857142,3.142857142857143,3.0,3.4285714285714284,3.857142857142857,3.857142857142857,3.7142857142857144,4.0,3.142857142857143,3.4285714285714284,3.2857142857142856,3.7142857142857144,3.7142857142857144,3.7142857142857144,3.5714285714285716,4.857142857142857,5.142857142857143,7.0,4.571428571428571,5.714285714285714,5.714285714285714,7.285714285714286,5.857142857142857,5.285714285714286,4.0,5.857142857142857,5.571428571428571,5.571428571428571,3.857142857142857,4.857142857142857,5.714285714285714,6.571428571428571,6.571428571428571,6.285714285714286,6.285714285714286,6.285714285714286,6.0,6.285714285714286,5.285714285714286,6.0,5.857142857142857,5.857142857142857,6.857142857142857,5.428571428571429,3.5714285714285716,5.571428571428571,4.428571428571429,5.142857142857143,5.714285714285714,4.714285714285714,4.714285714285714,6.857142857142857,5.0,6.428571428571429,5.857142857142857,5.285714285714286,5.285714285714286,5.285714285714286,3.142857142857143,2.142857142857143,0.7142857142857143
"San Francisco-Oakland-Berkeley, CA",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.42857142857142855,1.1428571428571428,1.5714285714285714,2.0,2.5714285714285716,2.7142857142857144,2.857142857142857,3.7142857142857144,3.2857142857142856,3.2857142857142856,3.857142857142857,3.5714285714285716,3.5714285714285716,4.0,4.571428571428571,4.571428571428571,4.428571428571429,4.285714285714286,4.428571428571429,4.714285714285714,4.142857142857143,2.7142857142857144,5.857142857142857,6.428571428571429,6.285714285714286,6.0,5.857142857142857,6.0,6.0,4.428571428571429,4.428571428571429,4.142857142857143,4.857142857142857,4.571428571428571,5.714285714285714,6.285714285714286,4.571428571428571,5.142857142857143,5.428571428571429,4.714285714285714,4.714285714285714,3.857142857142857,3.5714285714285716,4.428571428571429,3.142857142857143,2.7142857142857144,4.0,5.0,4.571428571428571,4.142857142857143,4.142857142857143,4.0,4.285714285714286,3.142857142857143,2.2857142857142856,2.142857142857143,2.5714285714285716,2.7142857142857144,3.4285714285714284,3.2857142857142856,3.2857142857142856,3.2857142857142856,3.4285714285714284,3.857142857142857,3.2857142857142856,2.5714285714285716,3.142857142857143,3.0,3.0,3.4285714285714284,2.857142857142857,2.2857142857142856,2.2857142857142856,1.1428571428571428
"San Jose-Sunnyvale-Santa Clara, CA",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0,1.4285714285714286,1.1428571428571428,1.7142857142857142,1.7142857142857142,2.0,1.8571428571428572,2.5714285714285716,2.142857142857143,2.5714285714285716,2.0,2.142857142857143,2.4285714285714284,2.7142857142857144,2.142857142857143,2.142857142857143,1.7142857142857142,2.0,2.142857142857143,1.7142857142857142,1.5714285714285714,1.7142857142857142,2.0,3.0,2.4285714285714284,2.7142857142857144,3.142857142857143,3.4285714285714284,3.142857142857143,2.857142857142857,3.2857142857142856,4.0,4.142857142857143,3.7142857142857144,3.5714285714285716,3.7142857142857144,3.857142857142857,2.857142857142857,2.5714285714285716,1.8571428571428572,2.2857142857142856,2.142857142857143,2.142857142857143,2.142857142857143,2.0,2.142857142857143,2.0,1.4285714285714286,2.142857142857143,2.2857142857142856,2.142857142857143,1.8571428571428572,1.7142857142857142,1.7142857142857142,2.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855
"San Luis Obispo-Paso Robles, CA",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Santa Cruz-Watsonville, CA",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
